id,name
862,John Lasseter
8844,Joe Johnston
15602,Howard Deutch
31357,Forest Whitaker
11862,Charles Shyer
949,Michael Mann
11860,Sydney Pollack
45325,Peter Hewitt
9091,Peter Hyams
710,Martin Campbell
9087,Rob Reiner
12110,Mel Brooks
21032,Simon Wells
10858,Oliver Stone
1408,Renny Harlin
524,Martin Scorsese
4584,Ang Lee
5,Allison Anders
5,Alexandre Rockwell
5,Robert Rodriguez
5,Quentin Tarantino
9273,Steve Oedekerk
11517,Joseph Ruben
8012,Barry Sonnenfeld
1710,Jon Amiel
9691,Richard Donner
12665,Victor Salva
451,Mike Figgis
16420,Oliver Parker
9263,Lesli Linka Glatter
17015,Roger Michell
902,Jean-Pierre Jeunet
902,Marc Caro
37557,Zhang Yimou
9909,John N. Smith
63,Terry Gilliam
78802,Jean-Jacques Annaud
9598,Chris Noonan
47018,Christopher Hampton
687,Tim Robbins
139405,Stephen Low
33689,Andy Tennant
9603,Amy Heckerling
34615,Darrell James Roodt
31174,Richard Loncraine
11443,Albert Hughes
11443,Allen Hughes
35196,Michael Hoffman
9312,Paul W.S. Anderson
577,Gus Van Sant
11861,Jocelyn Moorhouse
807,David Fincher
10530,Mike Gabriel
10530,Eric Goldberg
8391,Patricia Rozema
629,Bryan Singer
117164,Richard W. Munchkin
11448,Woody Allen
49133,Gianni Amelio
26441,Holly Goldberg Sloan
97406,Ulu Grosbard
124057,Robert Tinnell
9089,Jodie Foster
11010,Michael Radford
99040,Robert Lepage
11359,Frank Oz
17182,John Schlesinger
2054,Stephen Herek
10607,Paris Barclay
19760,Bill Bennett
9536,Jason Bloom
11525,Farhad Mann
40628,James Foley
4482,Josiane Balasko
10634,F. Gary Gray
755,Robert Rodriguez
11859,Andrew Sipes
28387,Noah Baumbach
48750,Claude Lelouch
20927,Michael Goldenberg
36929,Steve Miner
9102,Christian Duguay
124626,Susanne Ofteringer
27526,Sean Penn
9623,Brian Gibson
46785,Jafar Panahi
400,Gary Fleder
880,Marleen Gorris
146599,Tim Reid
188588,Henry Jaglom
8447,Philip Haas
10534,Ridley Scott
17414,Ken Kwapis
13997,Penelope Spheeris
2086,John Badham
61548,John Duigan
9095,Stephen Frears
12158,Wes Craven
9283,Ted Demme
9208,John Woo
40154,Kenneth Branagh
406,Mathieu Kassovitz
45549,Paul W.S. Anderson
63076,Nick Broomfield
11062,Harold Becker
13685,Wes Anderson
47475,Nick Castle
2045,John Dahl
9614,Dennis Dugan
688,Clint Eastwood
11907,Doris Dörrie
10874,Brian Henson
89333,Robert Leacock
96357,James Bruce
197,Mel Gibson
103,Martin Scorsese
33542,Stanley Tong
43566,Barbet Schroeder
71754,Mort Ransen
43612,Étienne Chatiliez
51352,Jon Blair
16934,Benjamin Ross
10324,Eric Schaeffer
78406,Andrew Davis
55731,Charles T. Kanganis
32119,John N. Smith
11066,Reginald Hudlin
11104,Wong Kar-wai
37975,Giuseppe Tornatore
2074,David O. Russell
27793,Peter MacDonald
44284,Moufida Tlatli
290157,Michel Negroponte
110972,Bryan Gordon
32622,Rebecca Miller
73067,Michael Lindsay-Hogg
11863,William Friedkin
55475,Ángel Muñiz
124636,Craig Baldwin
9101,David S. Ward
123360,Mark Rappaport
5757,Dirk Shafer
39428,Terence Davies
124639,Sandip Ray
9302,Jon Avnet
11000,Mike Nichols
249882,Jakov Sedlar
16388,Edward Burns
9737,Michael Bay
30765,Christopher Cain
10474,Scott Kalvert
22279,Mike Newell
30157,Hal Hartley
568,Ron Howard
11780,Michael Caton-Jones
34996,Abel Ferrara
414,Joel Schumacher
649,Luis Buñuel
1873,John Boorman
5894,Paul Auster
5894,Wayne Wang
1775,Michael Moore
8839,Brad Silberling
20649,Spike Lee
10329,Frank Marshall
8963,Tony Scott
26564,Terry Zwigoff
8068,Robert Rodriguez
8512,Carl Franklin
1572,John McTiernan
13552,Gregg Araki
259209,Christopher Menaul
6520,Jerry Zucker
9073,Dwight H. Little
10428,Iain Softley
17447,Christopher Ashley
9886,Robert Longo
9482,Danny Cannon
19326,John Fortenberry
9344,Larry Clark
9071,Tom DiCillo
8973,Clive Barker
15730,Denys Arcand
47608,Antonia Bird
2293,Kevin Smith
9070,Bryan Spicer
68274,David Anspaugh
48787,Anthony Waller
34574,Michael Almereyda
1642,Irwin Winkler
11472,Chris Columbus
36196,Daisy von Scherler Mayer
11980,Gregory Widen
58372,Norman René
32646,Todd Haynes
10533,Roland Joffé
10802,Paul Verhoeven
10149,Wayne Wang
10149,Paul Auster
18402,Lasse Hallström
9348,Roger Donaldson
139408,James Keach
281,Kathryn Bigelow
5967,Jacques Demy
79593,Wesley Strick
47939,Martha Coolidge
36834,Agnieszka Holland
9090,Beeban Kidron
3512,Geoff Murphy
52856,Diane Keaton
77350,Douglas Keeve
9560,Alfonso Aráu
9804,Kevin Reynolds
31611,Desmond Nakano
65796,Walter Hill
49805,Mike Figgis
26258,Greg Beeman
50797,Nikita Mikhalkov
19155,Milčo Mančevski
76,Richard Linklater
11017,Tamra Davis
37141,Guy Ferland
9382,Herbert Ross
6715,Peter Horton
18256,Stuart Gordon
22625,Pat O'Connor
2292,Kevin Smith
1909,Jeremy Leven
8984,Barry Levinson
61813,René Bonnière
4954,John Badham
62488,Jack Baran
10531,Roman Polanski
11929,Taylor Hackford
8467,Peter Farrelly
8467,Bobby Farrelly
10451,Ang Lee
20156,Atom Egoyan
18395,Garry Marshall
522,Tim Burton
397,Lawrence Kasdan
10525,Billy Crystal
27985,Phillip Borsos
15789,Kevin Lima
15789,Paul Brizzi
27303,Brett Leonard
21183,Carlo Carlei
10954,Gérard Corbiau
47867,Mark Lewis
43475,Art Clokey
72031,Charles Burnett
14275,Steve James
1024,Peter Jackson
17207,Randall Miller
13701,Bernard Rose
14819,Steven Brill
32631,J. F. Lawton
11777,Fred Schepisi
628,Neil Jordan
87729,James Ivory
18713,James Melkonian
6280,Ivan Reitman
9061,Arne Glimcher
37108,Michael Gottlieb
6071,Barbet Schroeder
11,George Lucas
9587,Gillian Armstrong
19101,Alfonso Cuarón
49980,Ken Loach
17961,Claude Chabrol
18183,Alfonso Aráu
4476,Edward Zwick
11008,Nick Castle
47504,James Gray
32325,Allison Anders
43742,Glenn Gordon Caron
28313,Stephen Gyllenhaal
11318,Nicholas Hytner
3036,Kenneth Branagh
40490,James Orr
24070,Nora Ephron
8986,Richard Benjamin
10510,Les Mayfield
17402,David Frankel
38722,Gregory Nava
8438,Marc Rocco
11593,Robert Benton
1945,Michael Apted
39310,Nick Gomez
109560,Tōru Murakawa
56428,Vadim Jean
63105,Albert Pyun
131957,Alan Jacobs
241,Oliver Stone
9058,Norman Jewison
527,Lee Tamahori
18220,Anne Goursaud
6950,Wolfgang Petersen
101,Luc Besson
63020,Mira Nair
2307,Joshua Brand
680,Quentin Tarantino
41478,Mario Van Peebles
25296,Ang Lee
40156,Antonia Bird
11450,Robert Redford
30304,Kayo Hatta
10452,Patrice Chéreau
12106,Sam Raimi
161495,Peter Yates
3586,Robert Altman
110,Krzysztof Kieślowski
108,Krzysztof Kieślowski
109,Krzysztof Kieślowski
159185,He Ping
36357,Fred Gerber
92769,George Mihalka
28033,Harold Ramis
22586,Richard Rich
14334,John Sayles
2636,Luis Llosa
2164,Roland Emmerich
11395,John Pasquin
278,Frank Darabont
9905,Danny Boyle
87078,Scott McGehee
87078,David Siegel
12527,Tomás Gutiérrez Alea
12527,Juan Carlos Tabío
20306,George Huang
36614,Kevin Dowling
36614,Geoff Burton
27993,Kelly Makin
31439,Zhang Yimou
9067,Rachel Talalay
9059,Ernest R. Dickerson
193,David Carson
25066,Rusty Cundieff
46797,Brian Gilbert
12122,John Carpenter
11381,Peter Segal
32636,Louis Malle
36141,Steven Soderbergh
95963,Preston A. Whitmore II
1587,Lasse Hallström
9271,Brett Leonard
2064,Jon Turteltaub
19855,Jon Avnet
60855,Mina Shum
236,P.J. Hogan
48287,Melanie Mayron
3049,Tom Shadyac
2759,Stephan Elliott
12635,Iain Softley
10497,Roman Polanski
11382,Woody Allen
9331,Phillip Noyce
10731,Joel Schumacher
10464,Jessie Nelson
34152,Spike Lee
9495,Alex Proyas
29973,Ron Shelton
888,Brian Levant
13,Robert Zemeckis
712,Mike Newell
16295,John Singleton
48992,Darnell Martin
10879,Charles Shyer
10660,Andrew Bergman
10714,Stephen Sommers
41647,Ray Müller
8587,Roger Allers
8587,Rob Minkoff
1689,Bernardo Bertolucci
11596,Wes Craven
854,Chuck Russell
9359,Richard Donner
23333,Alan Rudolph
36593,Peter Segal
12280,Ron Howard
2788,Ben Stiller
10427,John Dahl
11011,Donald Petrie
49803,Robert Allan Ackerman
8987,Curtis Hanson
1637,Jan de Bont
15128,Ron Underwood
8831,Peter Hyams
36955,James Cameron
10449,Luis Mandoki
10395,Mike Nichols
12160,Lawrence Kasdan
40480,Damian Harris
52038,Suri Krishnamma
29444,Jefery Levy
26352,Keenen Ivory Wayans
39953,Robert Lee King
39953,Brian Sloan
39953,Raoul O'Connell
41580,Yves Angelo
315,Russ Meyer
22067,Doug McHenry
18242,Dave Borthwick
11667,Steven E. de Souza
32502,Wallace Wolodarsky
267188,Michael A. Nickles
28732,Paul Warner
75555,Vincent Robert
42981,Theodore Thomas
278939,Lucas Platt
291731,Ross Kagan Marks
226229,Paul Williams
203119,Robert Wuhl
172923,Roberto Sneider
316098,Jack Baxter
316098,Jefri Aalmuhammed
8011,Andrew Morahan
171857,Michael Corrente
2654,John Carpenter
18069,John G. Avildsen
19092,Jeff Pollack
2758,Barry Sonnenfeld
38129,Thomas Schlamme
10436,Martin Scorsese
13595,Michael Lehmann
46094,Paul Michael Glaser
9409,John Badham
11853,Jonathan Kaplan
16771,Whit Stillman
46924,Bill Forsyth
11041,Penelope Spheeris
306,John Landis
14522,Caroline Thompson
26203,Michael Apted
178,Stephen Hopkins
19819,William Friedkin
57834,Tony Richardson
4722,Abel Ferrara
18215,Jennifer Chambers Lynch
1607,Robert De Niro
26391,Adam Resnick
117553,John Whitesell
6075,Brian De Palma
11310,Paul Weiland
18658,Mick Jackson
9350,Renny Harlin
9612,Steve Barron
2124,Richard Rush
26261,Michael Ritchie
19176,Gregg Champion
49299,Abel Ferrara
11566,Ivan Reitman
9571,Richard Linklater
9739,Marco Brambilla
24257,Bruce Brown
34444,Gus Van Sant
26141,Carl Reiner
10997,Chen Kaige
50463,Donald Petrie
10443,Peter Weir
20239,Rusty Cundieff
16297,Alek Keshishian
18551,Steve Kloves
25440,John Irvin
9024,Barry Sonnenfeld
37233,Sydney Pollack
1634,Simon Wincer
13815,Boaz Yakin
5503,Andrew Davis
35588,Walter Hill
2087,Roger Donaldson
41579,Howard Deutch
18620,Rose Troche
41006,Bruce Beresford
4916,Sidney Lumet
2019,John Woo
31642,Oliver Stone
9255,Jim Abrahams
26271,Julianna Lavin
10612,Christopher Monger
2259,Bille August
16097,Eric Meza
11934,Joel Coen
106143,James L. Brooks
12475,"Daniel Petrie, Jr."
9386,Wolfgang Petersen
7984,Jim Sheridan
59930,Matty Rich
15765,Brian Gibson
31643,Barry Levinson
6,Stephen Hopkins
329,Steven Spielberg
10909,Dominic Sena
507,Roger Avary
34024,Steven Soderbergh
29918,Daniel Petrie
9593,John McTiernan
42580,James Lapine
22317,Simon Wincer
22317,Paul Hogan
22317,Greg Coote
1413,David Cronenberg
12121,Richard Benjamin
2246,Harold Becker
10502,Mel Gibson
10440,Woody Allen
9516,Albert Hughes
9516,Allen Hughes
2320,Stuart Baird
5879,Nagisa Ōshima
83718,Tom Noonan
11971,Kenneth Branagh
2625,Mike Figgis
31911,Anthony Minghella
788,Chris Columbus
21450,Mike Leigh
11231,Christopher Cain
41588,Michael Tolkin
10447,Martin Campbell
