title,vote_average,vote_count
Toy Story,7.7,5415
Jumanji,6.9,2413
Grumpier Old Men,6.5,92
Waiting to Exhale,6.1,34
Heat,7.7,1886
Sabrina,6.2,141
Tom and Huck,5.4,45
Sudden Death,5.5,174
GoldenEye,6.6,1194
The American President,6.5,199
Dracula: Dead and Loving It,5.7,210
Balto,7.1,423
Nixon,7.1,72
Cutthroat Island,5.7,137
Casino,7.8,1343
Sense and Sensibility,7.2,364
Four Rooms,6.5,539
Ace Ventura: When Nature Calls,6.1,1128
Money Train,5.4,224
Get Shorty,6.4,305
Copycat,6.5,199
Assassins,6.0,394
Powder,6.3,143
Leaving Las Vegas,7.1,365
Othello,7.0,33
Now and Then,6.6,91
Persuasion,7.4,36
The City of Lost Children,7.6,308
Shanghai Triad,6.5,17
Dangerous Minds,6.4,249
Twelve Monkeys,7.4,2470
Babe,6.0,756
Carrington,6.4,16
Dead Man Walking,7.3,350
Across the Sea of Time,3.5,2
It Takes Two,6.1,149
Clueless,6.9,828
"Cry, the Beloved Country",6.7,13
Richard III,6.9,50
Dead Presidents,6.6,80
Restoration,6.3,30
Mortal Kombat,5.4,452
To Die For,6.7,177
How To Make An American Quilt,6.5,38
Se7en,8.1,5915
Pocahontas,6.7,1509
When Night Is Falling,5.9,10
The Usual Suspects,8.1,3334
Guardian Angel,6.3,3
Mighty Aphrodite,6.7,145
Lamerica,7.7,11
The Big Green,5.2,41
Georgia,6.1,15
Kids of the Round Table,3.0,1
Home for the Holidays,6.3,39
The Postman,7.6,181
The Confessional,6.5,2
The Indian in the Cupboard,5.9,136
Eye for an Eye,5.8,65
Mr. Holland's Opus,6.9,115
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192
Two If by Sea,4.5,14
Bio-Dome,4.4,110
Lawnmower Man 2: Beyond Cyberspace,2.8,32
Two Bits,5.4,11
French Twist,6.0,43
Friday,7.0,513
From Dusk Till Dawn,6.9,1644
Fair Game,4.1,54
Kicking and Screaming,7.0,36
Les Miserables,6.6,8
Bed of Roses,5.1,27
Big Bully,3.9,16
Screamers,6.1,154
Nico Icon,7.3,3
The Crossing Guard,6.1,74
The Juror,5.5,91
The White Balloon,7.5,20
Things to Do in Denver When You're Dead,6.7,87
Antonia's Line,7.2,26
Once Upon a Time... When We Were Colored,4.5,2
Last Summer in the Hamptons,0.0,0
Angels and Insects,6.3,17
White Squall,6.3,86
Dunston Checks In,5.1,59
Black Sheep,6.0,124
Nick of Time,6.1,190
The Journey of August King,6.7,3
Mary Reilly,5.7,77
Vampire in Brooklyn,4.5,113
Beautiful Girls,6.6,103
Broken Arrow,5.7,459
A Midwinter's Tale,7.5,6
La Haine,7.9,695
Shopping,5.6,13
Heidi Fleiss: Hollywood Madam,6.8,4
City Hall,6.0,67
Bottle Rocket,6.8,285
Mr. Wrong,3.3,16
Unforgettable,5.3,22
Happy Gilmore,6.5,767
The Bridges of Madison County,7.3,397
Nobody Loves Me,5.1,5
Muppet Treasure Island,6.5,93
Catwalk,7.0,2
Headless Body in Topless Bar,0.0,0
Braveheart,7.7,3404
Taxi Driver,8.1,2632
Rumble in the Bronx,6.5,245
Before and After,5.8,37
Margaret's Museum,7.5,2
Happiness Is in the Field,7.0,23
Anne Frank Remembered,7.3,4
The Young Poisoner's Handbook,6.9,19
If Lucy Fell,5.4,11
Steal Big Steal Little,5.1,7
Race the Sun,5.2,21
The Boys of St. Vincent,7.0,7
Boomerang,5.4,139
Chungking Express,7.9,249
The Star Maker,6.8,29
Flirting with Disaster,6.3,66
The Neverending Story III: Escape from Fantasia,4.4,105
The Silences of the Palace,4.3,3
Jupiter's Wife,0.0,0
Pie in the Sky,7.0,2
Angela,5.6,9
Frankie Starlight,5.4,4
Jade,5.1,45
Nueba Yol,5.5,1
Sonic Outlaws,0.0,0
Down Periscope,5.6,110
From the Journals of Jean Seberg,6.5,2
Man of the Year,3.8,2
The Neon Bible,7.2,5
Target,0.0,0
Up Close & Personal,5.9,51
The Birdcage,6.7,303
Virgin Mary,7.0,2
The Brothers McMullen,6.3,23
Bad Boys,6.5,1729
The Amazing Panda Adventure,5.0,31
The Basketball Diaries,7.2,472
An Awfully Big Adventure,6.0,11
Amateur,6.5,21
Apollo 13,7.3,1637
Rob Roy,6.5,151
The Addiction,6.4,46
Batman Forever,5.2,1529
Belle de Jour,7.3,163
Beyond Rangoon,6.4,21
Blue in the Face,6.8,28
Canadian Bacon,5.9,57
Casper,6.0,1045
Clockers,6.8,69
Congo,5.0,214
Crimson Tide,7.0,508
Crumb,7.6,71
Desperado,6.8,898
Devil in a Blue Dress,6.3,88
Die Hard: With a Vengeance,6.9,2094
The Doom Generation,5.6,57
Feast of July,0.0,0
First Knight,5.9,319
Free Willy 2 - The Adventure Home,5.5,130
Hackers,6.2,406
Jeffrey,6.5,19
Johnny Mnemonic,5.5,380
Judge Dredd,5.4,643
Jury Duty,4.0,34
Kids,6.8,280
Living in Oblivion,7.2,64
Lord of Illusions,5.9,87
Love & Human Remains,7.0,7
Mad Love,5.5,27
Mallrats,6.8,400
Mighty Morphin Power Rangers: The Movie,5.2,153
Moonlight and Valentino,5.6,10
Mute Witness,6.4,36
Nadja,5.9,12
The Net,5.6,359
Nine Months,5.5,171
Party Girl,5.8,14
The Prophecy,6.4,139
Reckless,10.0,1
Safe,7.2,62
The Scarlet Letter,5.5,111
Showgirls,4.9,261
Smoke,7.2,115
Something to Talk About,5.7,60
Species,5.5,457
The Stars Fell on Henrietta,6.6,6
Strange Days,6.8,334
The Umbrellas of Cherbourg,7.6,119
The Tie That Binds,4.6,9
Three Wishes,6.1,18
Total Eclipse,6.5,112
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117
Under Siege 2: Dark Territory,5.6,217
Unstrung Heroes,6.4,9
Unzipped,6.0,6
A Walk in the Clouds,6.5,168
Waterworld,5.9,1017
White Man's Burden,5.1,25
Wild Bill,5.9,27
The Browning Version,6.0,11
Bushwhacked,4.9,29
Burnt by the Sun,6.7,35
Before the Rain,7.7,45
Before Sunrise,7.7,984
Billy Madison,6.2,464
The Babysitter,4.7,27
Boys on the Side,6.3,48
The Cure,7.2,58
Castle Freak,5.8,40
Circle of Friends,6.5,30
Clerks,7.4,769
Don Juan DeMarco,6.3,184
Disclosure,5.9,217
Dream Man,2.5,1
Drop Zone,5.1,91
Destiny Turns on the Radio,5.3,9
Death and the Maiden,7.1,92
Dolores Claiborne,7.1,183
Dumb and Dumber,6.5,1894
Eat Drink Man Woman,7.5,76
Exotica,6.5,64
Exit to Eden,4.3,28
Ed Wood,7.3,639
French Kiss,6.2,179
Forget Paris,6.1,38
Far from Home: The Adventures of Yellow Dog,5.6,27
A Goofy Movie,6.7,404
Hideaway,5.0,24
Fluke,6.6,48
Farinelli,5.9,20
Gordy,3.0,4
Gumby: The Movie,5.0,2
The Glass Shield,5.4,9
Hoop Dreams,7.7,91
Heavenly Creatures,6.9,299
Houseguest,6.0,17
Immortal Beloved,6.9,90
Heavyweights,6.0,97
The Hunted,6.0,25
I.Q.,5.9,112
Interview with the Vampire,7.2,1558
Jefferson in Paris,5.2,10
The Jerky Boys,4.8,10
Junior,4.7,381
Just Cause,6.0,124
A Kid in King Arthur's Court,4.3,40
Kiss of Death,5.7,83
Star Wars,8.1,6778
Little Women,7.0,222
A Little Princess,7.4,207
Ladybird Ladybird,7.4,14
L'Enfer,6.6,22
Like Water for Chocolate,6.6,70
Legends of the Fall,7.2,636
Major Payne,6.1,164
Little Odessa,6.4,31
Mi Vida Loca,5.7,9
Love Affair,4.3,11
Losing Isaiah,6.4,28
The Madness of King George,6.7,67
Mary Shelley's Frankenstein,6.1,272
Man of the House,5.1,40
Mixed Nuts,5.2,37
Milk Money,5.6,49
Miracle on 34th Street,6.4,199
Miami Rhapsody,5.6,7
My Family,7.0,11
Murder in the First,6.9,140
Nobody's Fool,7.0,56
Nell,6.1,128
New Jersey Drive,6.9,7
New York Cop,0.0,0
Beyond Bedlam,4.0,4
Nemesis 2 - Nebula,4.6,10
Nina Takes a Lover,7.4,4
Natural Born Killers,6.9,927
Only You,6.4,92
Once Were Warriors,7.6,106
Poison Ivy II: Lily,4.6,32
Outbreak,6.4,522
Leon: The Professional,8.2,4293
The Perez Family,6.6,9
A Pyromaniac's Love Story,7.0,2
Pulp Fiction,8.3,8670
Panther,6.4,6
Pushing Hands,6.1,9
Priest,6.4,32
Quiz Show,7.1,262
Picture Bride,7.4,5
Queen Margot,7.0,67
The Quick and the Dead,6.2,431
Prêt-à-Porter,5.3,33
Three Colors: Red,7.8,246
Three Colors: Blue,7.7,311
Three Colors: White,7.3,218
"Red Firecracker, Green Firecracker",7.0,2
Rent-a-Kid,5.1,15
Relative Fear,4.7,3
Stuart Saves His Family,5.0,6
The Swan Princess,6.5,251
The Secret of Roan Inish,6.1,15
The Specialist,5.5,317
Stargate,6.8,942
The Santa Clause,6.3,501
The Shawshank Redemption,8.5,8358
Shallow Grave,7.0,247
Suture,6.0,7
Strawberry and Chocolate,7.1,16
Swimming with Sharks,6.7,104
The Sum of Us,6.0,21
Senior Trip,5.7,23
To Live,7.7,62
Tank Girl,5.5,140
Tales from the Crypt: Demon Knight,6.7,96
Star Trek: Generations,6.4,461
Tales from the Hood,5.4,33
Tom & Viv,5.8,8
Village of the Damned,5.6,165
Tommy Boy,6.8,321
Vanya on 42nd Street,6.1,15
The Underneath,5.6,15
The Walking Dead,6.6,4
What's Eating Gilbert Grape,7.5,943
Virtuosity,5.4,163
While You Were Sleeping,6.5,340
The War,6.3,39
Double Happiness,5.5,2
Muriel's Wedding,6.9,104
The Baby-Sitters Club,5.3,23
Ace Ventura: Pet Detective,6.4,1684
"The Adventures of Priscilla, Queen of the Desert",7.2,174
Backbeat,6.2,37
Bitter Moon,7.0,115
Bullets Over Broadway,7.0,130
Clear and Present Danger,6.4,390
The Client,6.4,287
"Corrina, Corrina",6.4,83
Crooklyn,6.7,31
The Crow,7.3,980
Cobb,6.1,29
The Flintstones,5.0,559
Forrest Gump,8.2,8147
Four Weddings and a Funeral,6.6,654
Higher Learning,6.4,49
I Like It Like That,6.3,4
I Love Trouble,5.3,41
It Could Happen to You,6.1,154
The Jungle Book,5.9,107
"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5
The Lion King,8.0,5520
Little Buddha,6.0,76
New Nightmare,6.4,297
The Mask,6.6,2550
Maverick,6.6,490
Mrs. Parker and the Vicious Circle,6.3,20
The Naked Gun 33⅓: The Final Insult,6.4,535
The Paper,6.1,40
Reality Bites,6.5,180
Red Rock West,6.4,71
Ri¢hie Ri¢h,5.4,426
Safe Passage,4.9,7
The River Wild,6.1,214
Speed,6.8,1814
Speechless,5.5,24
Timecop,5.5,288
True Lies,6.8,1138
When a Man Loves a Woman,6.0,71
Wolf,6.0,221
Wyatt Earp,6.5,203
Bad Company,4.9,12
A Man of No Importance,6.5,2
S.F.W.,6.1,22
A Low Down Dirty Shame,6.0,31
"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1
Colonel Chabert,5.9,9
"Faster, Pussycat! Kill! Kill!",6.5,59
Jason's Lyric,5.9,9
The Secret Adventures of Tom Thumb,7.1,8
Street Fighter,4.1,330
Coldblooded,6.7,13
Desert Winds,0.0,0
Fall Time,6.3,6
The Fear,3.4,7
Frank and Ollie,7.5,4
Girl in the Cadillac,10.0,1
Homage,0.0,0
Mirage,4.0,1
Open Season,0.0,0
Dos Crímenes,5.0,1
Brother Minister: The Assassination of Malcolm X,4.0,1
Highlander: The Final Dimension,4.5,110
Federal Hill,5.0,2
In the Mouth of Madness,7.1,307
8 Seconds,7.2,22
Above the Rim,6.7,40
Addams Family Values,6.5,537
Martin Lawrence: You So Crazy,4.5,4
The Age of Innocence,7.0,172
Airheads,5.8,222
The Air Up There,5.1,42
Another Stakeout,4.9,58
Bad Girls,4.6,61
Barcelona,6.6,20
Being Human,5.0,15
The Beverly Hillbillies,5.0,86
Beverly Hills Cop III,5.5,445
Black Beauty,6.6,68
Blink,6.3,45
Blown Away,6.0,126
Blue Chips,5.7,41
Blue Sky,6.1,28
Body Snatchers,5.8,102
Boxing Helena,4.5,59
A Bronx Tale,7.4,447
Cabin Boy,4.9,28
Calendar Girl,3.7,10
Carlito's Way,7.7,805
City Slickers II: The Legend of Curly's Gold,4.9,103
Clean Slate,5.7,25
Cliffhanger,6.1,600
Coneheads,4.8,228
Color of Night,5.4,117
Cops & Robbersons,5.0,36
The Cowboy Way,5.1,38
Dangerous Game,5.4,9
Dave,6.3,205
Dazed and Confused,7.4,588
Demolition Man,6.4,1018
The Endless Summer 2,7.1,12
Even Cowgirls Get the Blues,4.2,29
Fatal Instinct,5.4,37
Farewell My Concubine,7.8,98
The Favor,3.3,6
Fearless,6.8,80
Fear of a Black Hat,5.8,11
With Honors,6.1,54
Flesh and Bone,6.2,22
Widows' Peak,4.3,3
For Love or Money,5.7,77
The Firm,6.6,513
Free Willy,6.0,429
Fresh,7.6,56
The Fugitive,7.2,1240
Geronimo: An American Legend,5.9,44
The Getaway,5.4,81
Getting Even with Dad,4.5,43
Go Fish,3.9,5
A Good Man in Africa,5.2,11
Guilty as Sin,5.6,21
Hard Target,6.1,237
Heaven & Earth,6.4,51
Hot Shots! Part Deux,6.2,463
Live Nude Girls,4.7,12
The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83
The House of the Spirits,6.7,135
House Party 3,4.6,11
The Hudsucker Proxy,7.1,280
I'll Do Anything,5.7,18
In the Army Now,4.7,54
In the Line of Fire,6.8,392
In the Name of the Father,7.6,363
The Inkwell,3.9,5
What's Love Got to Do with It,6.9,75
Jimmy Hollywood,4.6,17
Judgment Night,6.4,79
Jurassic Park,7.6,4956
Kalifornia,6.5,209
Killing Zoe,6.1,111
King of the Hill,6.4,33
Lassie,6.1,54
Last Action Hero,6.1,725
Life With Mikey,5.1,24
Lightning Jack,5.7,40
M. Butterfly,6.6,35
Made in America,5.3,86
Malice,5.9,105
The Man without a Face,6.2,125
Manhattan Murder Mystery,7.1,169
Menace II Society,7.2,179
Executive Decision,5.8,261
In the Realm of the Senses,6.5,112
What Happened Was...,7.0,7
Much Ado About Nothing,7.2,194
Mr. Jones,5.9,35
Mr. Wonderful,5.5,11
Mrs. Doubtfire,7.0,1638
Naked,7.5,105
The Next Karate Kid,4.8,202
The New Age,4.8,5
No Escape,6.1,86
